id,Title,Content,Categories,Tags
40,"Pierozki1","<p>
Pierozki are an old Polish favorite. They can be filled with potatoes, meat, mushrooms, or almost anything else a creative cook might want to try. Fill half of your Pierozki with the sauerkraut mixture and half with the cheese filling for a tasty selection.</p>
<h2>Ingredients</h2>
<p><b>Sauerkraut Filling:</b></p>
<ul>
	<li><p>4 oz. sauerkraut, drained</p>
	<li><p>2 tbsp. butter or margarine</p>
	<li><p>1/2 onion, peeled and chopped</p>
	<li><p>1/4 tsp. paprika, 1/4 tsp. salt</p>
	<li><p>1/4 tsp.pepper, 1/4 tsp. marjoram.</p>
</ul>
<p><b>Savory Cheese Filling:</b></p>
<ul>
	<li><p>8 oz. (1 c.) cottage cheese</p>
	<li><p>2 tbsp. bread crumbs, 1 egg yolk</p>
	<li><p>1/2 tsp. salt </p>
	<li><p>1/4 tsp. pepper</p>
	<li><p>Pinch of garlic powder (optional).</p>
</ul>
<p><b>Dough:</b></p>
<ul>
	<li><p>2 c. all-purpose flour</p>
	<li><p>1 egg</p>
	<li><p>1/8 tsp. salt</p>
	<li><p>1/2 to 3/4 c. water or skim milk extra flour for mixing</p>
	<li><p>1 tsp. salt.</p>
</ul>
<h2>Instructions</h2>
<p><b>Sauerkraut Filling:</b></p>
<ol>
	<li><p>Chop sauerkraut into very small pieces. Melt butter or margarine in skillet.</p>
	<li><p>Add sauerkraut and remaining ingredients and fry over low heat for about 10 minutes, stirring occasionally.</p>
	<li><p>Fill and cook Pierozki as directed.</p>
</ol>
<p><b>Savory Cheese Filling:</b></p>
<ol>
	<li><p>Put all ingredients in a medium bowl and mix well.</p>
	<li><p>Fill and cook Pierozki as directed.</p>
</ol>
<p><b>Dough:</b></p>
<ol>
	<li><p>In a medium bowl, mix together flour, egg, and 1/8 tsp. salt. Mix in water or milk, a little at a time, until dough is stiff.</p>
	<li><p>Knead dough for 2 to 4 minutes on a floured surface. (You will probably have to add more flour.) Roll out dough to 1/8 -inch thickness with a rolling pin.</p>
	<li><p>With a drinking glass or cookie cutter, cut out rounds of dough 3 inches in diameter.</p>
	<li><p>Put 1 tbsp. of either filling on one half of a dough circle.</p>
	<li><p>Moisten edges of dough with a little water. Fold dough over filling and press edges together, first with your fingers, then with the tines of a fork. Repeat with remaining dough and filling.</p>
	<li><p>Fill a large kettle with water and 1 tsp. salt and bring to boil. Place Pierozki in boiling water a few at a time. (If you put too many in the kettle at once, they will stick together.) Boil for 3 to 5 minutes, or until Pierozki begin to float.</p>
	<li><p>Serve hot, with sour cream if desired.</p>
</ol>
<p>Source: <a rel=""noreferrer noopener"" href=""https://www.amazon.com/Cooking-Polish-Way-Vegetarian-Cookbooks/dp/082254119X"" target=""_blank"">Cooking the Polish Way</a> by Danuta Zamojska-Hutchins</p>",Food,food|polish
41,"Pierozki2","<p>
Pierozki are an old Polish favorite. They can be filled with potatoes, meat, mushrooms, or almost anything else a creative cook might want to try. Fill half of your Pierozki with the sauerkraut mixture and half with the cheese filling for a tasty selection.</p>
<h2>Ingredients</h2>
<p><b>Sauerkraut Filling:</b></p>
<ul>
	<li><p>4 oz. sauerkraut, drained</p>
	<li><p>2 tbsp. butter or margarine</p>
	<li><p>1/2 onion, peeled and chopped</p>
	<li><p>1/4 tsp. paprika, 1/4 tsp. salt</p>
	<li><p>1/4 tsp.pepper, 1/4 tsp. marjoram.</p>
</ul>
<p><b>Savory Cheese Filling:</b></p>
<ul>
	<li><p>8 oz. (1 c.) cottage cheese</p>
	<li><p>2 tbsp. bread crumbs, 1 egg yolk</p>
	<li><p>1/2 tsp. salt </p>
	<li><p>1/4 tsp. pepper</p>
	<li><p>Pinch of garlic powder (optional).</p>
</ul>
<p><b>Dough:</b></p>
<ul>
	<li><p>2 c. all-purpose flour</p>
	<li><p>1 egg</p>
	<li><p>1/8 tsp. salt</p>
	<li><p>1/2 to 3/4 c. water or skim milk extra flour for mixing</p>
	<li><p>1 tsp. salt.</p>
</ul>
<h2>Instructions</h2>
<p><b>Sauerkraut Filling:</b></p>
<ol>
	<li><p>Chop sauerkraut into very small pieces. Melt butter or margarine in skillet.</p>
	<li><p>Add sauerkraut and remaining ingredients and fry over low heat for about 10 minutes, stirring occasionally.</p>
	<li><p>Fill and cook Pierozki as directed.</p>
</ol>
<p><b>Savory Cheese Filling:</b></p>
<ol>
	<li><p>Put all ingredients in a medium bowl and mix well.</p>
	<li><p>Fill and cook Pierozki as directed.</p>
</ol>
<p><b>Dough:</b></p>
<ol>
	<li><p>In a medium bowl, mix together flour, egg, and 1/8 tsp. salt. Mix in water or milk, a little at a time, until dough is stiff.</p>
	<li><p>Knead dough for 2 to 4 minutes on a floured surface. (You will probably have to add more flour.) Roll out dough to 1/8 -inch thickness with a rolling pin.</p>
	<li><p>With a drinking glass or cookie cutter, cut out rounds of dough 3 inches in diameter.</p>
	<li><p>Put 1 tbsp. of either filling on one half of a dough circle.</p>
	<li><p>Moisten edges of dough with a little water. Fold dough over filling and press edges together, first with your fingers, then with the tines of a fork. Repeat with remaining dough and filling.</p>
	<li><p>Fill a large kettle with water and 1 tsp. salt and bring to boil. Place Pierozki in boiling water a few at a time. (If you put too many in the kettle at once, they will stick together.) Boil for 3 to 5 minutes, or until Pierozki begin to float.</p>
	<li><p>Serve hot, with sour cream if desired.</p>
</ol>
<p>Source: <a rel=""noreferrer noopener"" href=""https://www.amazon.com/Cooking-Polish-Way-Vegetarian-Cookbooks/dp/082254119X"" target=""_blank"">Cooking the Polish Way</a> by Danuta Zamojska-Hutchins</p>",Food,food|polish
