id,Title,Content,Categories,Tags
15,"Cauliflower with Polish Sauce","<!-- wp:image {""id"":30} -->
<figure class=""wp-block-image""><img src=""http://localhost:8080/wp-content/uploads/2020/10/kalafior-z-bulka.jpg"" alt=""Cauliflower with Polish Sauce"" class=""wp-image-30""/></figure>
<!-- /wp:image -->

<!-- wp:paragraph -->
<p>Polish sauce is an easy but flavorful topping that is delicious with a wide variety of vegetables. Polish cooks might serve it over carrots, cabbage, green beans, asparagus, or brussels sprouts.</p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2><strong>Ingredients</strong></h2>
<!-- /wp:heading -->

<!-- wp:list -->
<ul><li>1 medium head cauliflower*</li></ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p><strong>Polish Sauce:</strong></p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul><li>2 tbsp. butter or margarine</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>2 tbsp. bread crumbs</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li> ½ tsp. dill weed.</li></ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p>* When buying fresh cauliflower, choose heads that are firm and very white, with crisp, green leaves.To store cauliflower for a couple of days, cover the whole head with plastic wrap and put it in the refrigerator.</p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2><strong>Instructions</strong></h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p><strong>Step 1:</strong><br>Firstly, remove any green leaves from cauliflower and trim stem. Wash under cool running water. Place whole cauliflower right side up in a large kettle. Put enough water in the kettle to reach bottom florets (the ones closest to the stem) of the cauliflower and add ½ tsp. salt to the water. Cover the kettle tightly and bring water to a boil. Cook cauliflower for about 12 to 15 minutes, or until tender but not mushy.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Step 2:</strong><br>Then, in a small frying pan, melt butter over medium heat until it sizzles. (Butter burns easily, so be careful not to let it turn brown.) Add bread crumbs and dill weed and stir until mixture is golden brown.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Step 3:</strong><br>Finally, when cauliflower is cooked, transfer to a serving platter. Top cauliflower with Polish sauce and serve right away by carefully cutting off pieces with a serving spoon.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Source: <a href=""https://www.amazon.com/Cooking-Polish-Way-Vegetarian-Cookbooks/dp/082254119X"" target=""_blank"" rel=""noreferrer noopener nofollow"">Cooking the Polish Way</a> by Danuta Zamojska-Hutchins</p>
<!-- /wp:paragraph -->",Food,food|polish
36,"Hunter’s Stew/Bigos","<!-- wp:image {""align"":""center"",""id"":38,""width"":580,""height"":387,""sizeSlug"":""large""} -->
<div class=""wp-block-image""><figure class=""aligncenter size-large is-resized""><img src=""http://localhost:8080/wp-content/uploads/2020/10/Stew_Bigos-1.jpg"" alt="""" class=""wp-image-38"" width=""580"" height=""387""/></figure></div>
<!-- /wp:image -->

<!-- wp:paragraph -->
<p>Hunter’s stew has been the Polish national dish for hundreds of years.This tempting stew can be eaten hot or cold. It is delicious when reheated, and the leftovers can be frozen for future use.</p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2>Ingredients</h2>
<!-- /wp:heading -->

<!-- wp:list -->
<ul><li>1 16-oz. jar or can sauerkraut</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>1/2 c. (1 stick) butter or margarine</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>2 dried mushrooms, crushed (optional)</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>1/2 tsp. salt; 1 tsp. black pepper</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>1 tsp. marjoram; 1 tsp. dried parsley flakes</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>1 tsp. basil; 1/8 tsp. cayenne pepper (optional)</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>2 tbsp. paprika; 2 or 3 cloves garlic, minced</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>1 6-oz. can tomato paste; 1 tbsp. sugar</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>6 to 8 pitted, dried prunes; 1 small head cabbage</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>2 large green apples; 2 carrots</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>2 medium tomatoes; 1 medium onion</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>5 c. water; 1/2 lb. each boneless stewing beef, pork, and venison*</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>1/2 lb. each smoked ham and smoked Polish sausage</li></ul>
<!-- /wp:list -->

<!-- wp:list -->
<ul><li>1/2 c. all-purpose flour.</li></ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p>*In Poland, venison is commonly used in hunter’s stew, but if it’s not available you can substitute lb. of beef or an additional 1/4 lb. each of beef and pork. For a vegetarian stew, you can leave out the meat entirely and add extra vegetables instead.</p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2>Instructions</h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p><strong>Step 1:</strong><br>Preheat oven to 325°F.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Step 2:</strong><br>Place sauerkraut in colander to drain. Using your hands, squeeze out any remaining liquid. Chop sauerkraut into smaller pieces.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Step 3:</strong><br>Melt 1/4 c. butter or margarine in a large skillet. Add sauerkraut, mushrooms, salt, pepper, marjoram, parsley, basil, cayenne, paprika, garlic, tomato paste, and sugar and sauté for 10 minutes over medium heat. Remove from heat and set aside.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Step 4:</strong><br>Chop prunes into small pieces. Core, wash, and shred cabbage. Peel, core, and chop apples into bite-sized pieces. Peel and grate carrots. Peel and chop tomatoes and onion into small pieces.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Step 5:</strong><br>Place water and all ingredients from step 4 in a Dutch oven. Cover and put on middle oven rack to begin cooking.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Step 6:</strong><br>Cut all meat into bite-sized pieces. Put flour into a clean paper bag. Place cubes of meat (except ham and Polish sausage) into bag, about 1/4 lb. at a time, and shake to coat meat.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Step 7:</strong><br>Melt remaining 1/4 c. butter or margarine in a large skillet or heavy pot and brown meat (except ham and sausage) on all sides over medium-high heat.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Step 8:</strong><br>Add meat, ham and sausage, and sauerkraut mixture from step 3 to Dutch oven and mix well.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Step 9:</strong><br>Return stew to oven and cook for 2 to 2.5 hours, or until meat is tender.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Step 10:</strong><br>Serve stew hot in individual bowls along with bread, mashed potatoes, or rice.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Source: <a rel=""noreferrer noopener"" href=""https://www.amazon.com/Cooking-Polish-Way-Vegetarian-Cookbooks/dp/082254119X"" target=""_blank"">Cooking the Polish Way</a> by Danuta Zamojska-Hutchins</p>
<!-- /wp:paragraph -->",Food,food|polish
